,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
120,Exp Realty,House for sale,1100000,9,4,3276,"421 W 154th St, New York, NY 10032, USA",New York,10032,New York County,New York,154th St,40.8307115,-73.9424229
121,Sowae Corp,Multi-family home for sale,309000,6,2,2184,"29-18 Brookhaven Ave, Far Rockaway, NY 11691, USA",New York,11691,Queens County,Far Rockaway,Brookhaven Ave,40.5980695,-73.7632649
122,Keller Williams Realty Liberty,House for sale,650000,3,2,1522,"237-14 93rd Rd, Jamaica, NY 11426, USA",New York,11426,Queens County,Bellerose,93rd Rd,40.723245,-73.7293286
123,Rise Realty,House for sale,799000,4,2,1975,"604 Lamont Ave, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Lamont Ave,40.5387812,-74.193378
124,Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,259000,3,2,1089,"7C Edgewater Park, Bronx, NY 10465, USA",New York,10465,Bronx County,Bronx,Edgewater Park,40.8246371,-73.8072061
125,DiTommaso Real Estate,House for sale,1195000,4,4,2704,"52 Indale Ave, Staten Island, NY 10309, USA",New York,10309,Richmond County,Staten Island,Indale Ave,40.5143019,-74.2044734
126,Serhant,Condo for sale,17500000,5,6,5499,"37 Warren St, New York, NY 10007, USA",New York,10007,New York County,New York,Warren St,40.7143354,-74.0087443
127,Salmon Realty Group,Condo for sale,189000,2,2,966,"20 Cliff St #6b, Staten Island, NY 10305, USA",New York,10305,Richmond County,Staten Island,Cliff St,40.6109595,-74.060351
128,Midas Realty,Condo for sale,759000,3,2,1200,"206-4 Emily Rd #37, Bayside, NY 11360, USA",New York,11360,Queens County,Bayside,Emily Rd,40.7881763,-73.7877051
129,ONLY NINE REALTY LLC,House for sale,275000,4,1,2184,"579 E 29th St, Brooklyn, NY 11210, USA",New York,11210,Kings County,Brooklyn,29th St,40.6366859,-73.9488175
130,COMPASS,Condo for sale,499000,1,1,630,"157 E 72nd St #8i, New York, NY 10021, USA",New York,10021,New York County,New York,72nd St,40.7702318,-73.9610161
131,TREBACH REALTY INC,House for sale,1249000,3,2,2184,"3021 Arlington Ave, Bronx, NY 10463, USA",New York,10463,Bronx County,Bronx,Arlington Ave,40.8822913,-73.9137305
132,Utopia Real Estate,Co-op for sale,69900,2,1,700,"61 Edgewater Park, Bronx, NY 10465, USA",New York,10465,Bronx County,Bronx,Edgewater Park,40.8224987,-73.8111568
133,Rock Realty Inc,Multi-family home for sale,1150000,12,6,5508,"32-40 48th St, Long Island City, NY 11103, USA",New York,11103,Queens County,Astoria,48th St,40.755049,-73.9136386
134,"Island Advantage Rlty, Llc",Foreclosure,1749900,5,4,3740,"517 W 142nd St, New York, NY 10031, USA",New York,10031,New York County,New York,142nd St,40.824015,-73.9502067
135,Charles H. Greenthal Property,Co-op for sale,1399000,3,4,1993,"26910 Grand Central Pkwy Apt 21n, Queens, NY 11005, USA",New York,11005,Queens County,Floral Park,Grand Pkwy,40.7566899,-73.72075
136,Douglas Elliman - Roslyn,Condo for sale,649000,3,2,1182,"163-4 71st Ave #122, Fresh Meadows, NY 11365, USA",New York,11365,Queens County,Fresh Meadows,71st Ave,40.7302938,-73.8059248
137,WW Realty Group Inc,House for sale,499000,5,2,1760,"2774 Marion Ave, Bronx, NY 10458, USA",New York,10458,Bronx County,Bronx,Marion Ave,40.8663864,-73.8878945
138,Julia B. Fee Sotheby's International Realty,Multi-family home for sale,1050000,5,4,3132,"2818 Miles Ave, Bronx, NY 10465, USA",New York,10465,Bronx County,Bronx,Miles Ave,40.8176549,-73.8197053
139,COMPASS,Townhouse for sale,5000000,10,9,6425,"137 W 80th St, New York, NY 10024, USA",New York,10024,New York County,New York,80th St,40.7832598,-73.976047
140,HOT HOMES REALTY LLC.,Pending,90000,1,1,660,"16 Mapleton Ave, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Mapleton Ave,40.574451,-74.0929448
141,Douglas Elliman - 575 Madison Ave,House for sale,56000000,11,10,24000,"9 W 54th St, New York, NY 10019, USA",New York,10019,New York County,New York,54th St,40.7616,-73.9761913
142,Exp Realty,Townhouse for sale,650000,3,2,1638,"1544 Ohm Ave, Bronx, NY 10465, USA",New York,10465,Bronx County,Bronx,Ohm Ave,40.8454501,-73.8209766
